Model,mean_test_score,std_test_score,mean_fit_time,mean_score_time,params
KNeighborsClassifier,0.8787582498166707,0.01343063393156692,0.003041195869445801,0.015526223182678222,"{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8787582498166707,0.012798353727047001,0.002881646156311035,0.005025553703308106,"{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8777804937668052,0.01503543075343212,0.0029066801071166992,0.006164908409118652,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8772916157418724,0.012349063419965172,0.008445811271667481,0.2801839828491211,"{'n_neighbors': 5, 'weights': 'distance', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8763138596920068,0.014256192484302332,0.005250811576843262,0.2725696086883545,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8760694206795404,0.015956898303125387,0.0028395652770996094,0.012928056716918945,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8743583475922757,0.013055856614550394,0.0027417659759521483,0.01345963478088379,"{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8741139085798093,0.010785463081583692,0.0029969215393066406,0.00730745792388916,"{'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8736250305548766,0.012866237950269392,0.002534151077270508,0.25964057445526123,"{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8728917135174774,0.012765987717160107,0.002882528305053711,0.005533576011657715,"{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.872647274505011,0.011491077055589324,0.0020436763763427733,0.1805350065231323,"{'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8724028354925446,0.00999481334641329,0.0030078887939453125,0.20714232921600342,"{'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8716695184551454,0.010610798550832475,0.0027431249618530273,0.014723563194274902,"{'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8716695184551454,0.011206309938982332,0.0028476953506469727,0.014442849159240722,"{'n_neighbors': 9, 'weights': 'distance', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8714250794426791,0.010797266390865878,0.006290817260742187,0.017703723907470704,"{'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8711806404302127,0.016585978648350805,0.0027517080307006836,0.013503408432006836,"{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8709362014177463,0.01164159195824256,0.0028647899627685545,0.004738950729370117,"{'n_neighbors': 3, 'weights': 'distance', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8709362014177463,0.012137337145625194,0.003338742256164551,0.2404702425003052,"{'n_neighbors': 3, 'weights': 'distance', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8702028843803471,0.016311720527931093,0.009291553497314453,0.29151966571807864,"{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8699584453678807,0.010454280827062195,0.008781123161315917,0.20895035266876222,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8697140063554143,0.014492381800003302,0.00288693904876709,0.0056964635848999025,"{'n_neighbors': 9, 'weights': 'uniform', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8697140063554143,0.010806395146518481,0.0027590513229370115,0.013941550254821777,"{'n_neighbors': 3, 'weights': 'distance', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8692251283304816,0.00933626911491648,0.0028303384780883787,0.004337000846862793,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8687362503055488,0.016147862402020454,0.0031079769134521483,0.006703376770019531,"{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8684918112930824,0.009058458005411187,0.002916383743286133,0.015052008628845214,"{'n_neighbors': 3, 'weights': 'uniform', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8677584942556832,0.011081188507225878,0.004467177391052246,0.23665425777435303,"{'n_neighbors': 9, 'weights': 'uniform', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8675140552432168,0.012905623253934252,0.0028188228607177734,0.01401519775390625,"{'n_neighbors': 9, 'weights': 'uniform', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8667807382058177,0.014257817731122802,0.0030086994171142577,0.009522342681884765,"{'n_neighbors': 11, 'weights': 'uniform', 'algorithm': 'kd_tree'}"
KNeighborsClassifier,0.8653141041310193,0.014259550790385926,0.0027705669403076173,0.015467953681945801,"{'n_neighbors': 11, 'weights': 'uniform', 'algorithm': 'ball_tree'}"
KNeighborsClassifier,0.8650696651185529,0.013719706531790679,0.0031082868576049806,0.23555376529693603,"{'n_neighbors': 11, 'weights': 'uniform', 'algorithm': 'brute'}"
KNeighborsClassifier,0.8511366414079687,0.008241934380160095,0.008545398712158203,0.15036087036132811,"{'n_neighbors': 1, 'weights': 'uniform', 'algorithm': 'brute'}"
