tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001500485;0.02;  9116542; 9201335 ;1.01;42.95;
0.001638525;0.05; 10385432;15471938 ;1.49;63.16;
0.008013179;0.44;285123215;04168896 ;0.72;87.50;
0.011543432;0.66;362399181;79103823 ;0.77;100.00;
0.011783069;0.64;355568295;78404247 ;0.78;100.00;
0.009946597;0.53;363742072;73396398 ;0.75;89.71;
0.011838551;0.68;400062731;35458708 ;0.84;0.00;
0.011878673;0.66;357137722;99697281 ;0.84;93.56;
0.011911775;0.65;353895349;40888970 ;0.68;92.44;
0.007836366;0.37;484381297;335084210; 0.6;90.21;
0.011779333;0.67;356387134;36609628 ;0.66;87.69;
0.011800790;0.64;237451095;94570972 ;0.82;100.00;
0.007918871;0.44;267030880;26746338 ;0.85;100.00;
0.011828052;0.65;318769296;59095769 ;0.81;100.00;
0.002000559;0.11; 46039399;63593673 ;1.38;73.39;
0.001501363;0.04; 15269144;29497597 ;1.93;52.03;
0.001509021;0.09; 14819489;28991790 ;1.96;53.62;
0.001501257;0.04; 15014932;29283202 ;1.95;60.81;
0.001606050;0.04; 14669807;29239640 ;1.99;55.79;
0.001445898;0.08; 14893007;26806892 ;1.80;100.00;
0.001502571;0.04; 14659697;29454113 ;2.01;75.00;
0.001487216;0.04; 14679018;28353726 ;1.93;41.67;
0.001486961;0.04; 14090453;28333691 ;2.01;51.43;
0.001502721;0.04; 14655436;28562502 ;1.95;47.99;
0.001645455;0.04; 14854365;29354188 ;1.98;68.18;
0.001531380;0.04; 14327166;28749993 ;2.01;14.29;
0.001514077;0.03;  9171251;15082004 ;1.64;25.81;
0.001597397;0.08;  8575854;15700588 ;1.83;0.00;
0.001470942;0.04; 28685296;27539985 ;0.96;37.68;
0.001565555;0.08;  9081577;15491875 ;1.71;34.95;
0.001428798;0.08; 23462669;20103359 ;0.86;52.18;
0.001494586;0.08; 20884186;19857213 ;0.95;38.93;
0.001497525;0.06;  9580152;15692758 ;1.64;47.43;
0.001520345;0.04; 11641189;15277001 ;1.31;33.33;
0.001573439;0.04;  8878953;16285301 ;1.83;53.33;
0.001532602;0.07;  8287017;15575334 ;1.88;33.33;
0.001481127;0.07; 23912276;22363155 ;0.94;40.88;
0.001499728;0.08;  9808293;15993890 ;1.63;52.38;
0.002049325;0.05;  9172099; 1906867 ;0.21;;
0.001410934;0.04; 15641099;14049510 ;0.90;;
0.001441385;0.04; 21067735;16255671 ;0.77;;
0.001417171;0.01; 10387220;12807678 ;1.23;;
0.001558564;0.04; 13780445;10937939 ;0.79;;
0.001403612;0.02; 11215890;10548694 ;0.94;;
0.001496270;0.05; 18346998;12529795 ;0.68;;
