tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001516899;0.06; 23836664;19624102 ;0.82;14.89;
0.002043808;0.07;  9166805; 4585155 ;0.50;29.94;
0.010446096;0.55;265569601;82141683 ;1.06;89.34;
0.011908567;0.67;360314018;86668915 ;1.07;100.00;
0.011962480;0.69;361429344;71095092 ;1.03;100.00;
0.015959410;0.89;360818700;78186711 ;1.05;86.32;
0.008031531;0.46;359110843;87539901 ;1.08;100.00;
0.001754671;0.06;361584521;84062200 ;1.06;100.00;
0.001754458;0.10; 19416071;34094331 ;1.76;48.00;
0.001566293;0.09; 53911165;62920402 ;1.17;36.30;
0.001498599;0.08; 15077720;25550086 ;1.69;51.57;
0.001511535;0.04; 15640686;26518882 ;1.70;50.87;
0.001514915;0.07; 15046595;25365566 ;1.69;70.83;
0.001565402;0.08; 16593119;26564779 ;1.60;58.27;
0.001490527;0.06; 12952440;15360807 ;1.19;;
0.001441532;0.05;  9373079;13717049 ;1.46;22.22;
0.001504008;0.04;  8497531;14246206 ;1.68;42.79;
0.001532448;0.04;  9546957;13917753 ;1.46;38.48;
0.001553037;0.04;  8169744;13704322 ;1.68;52.38;
0.001522174;0.07; 12342589;15094400 ;1.22;100.00;
0.001490172;0.03; 15072963;16820815 ;1.12;38.57;
0.001485466;0.04;  8950859;14146941 ;1.58;68.42;
0.001471942;0.08;  9079446;14047181 ;1.55;45.44;
0.001442721;0.02;  3190423; 1544311 ;0.48;;
