tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001805206;0.02; 17170863;11599647 ;0.68;50.80;
0.001745324;0.08;  8538212;13010963 ;1.52;45.47;
0.004043525;0.21;359801170;79847875 ;1.06;100.00;
0.011945392;0.66;241764513;62574626 ;1.09;100.00;
0.011892409;0.66;360609939;84683277 ;1.07;100.00;
0.011931827;0.65;243101794;60050844 ;1.07;87.50;
0.008055713;0.44;360698895;83595362 ;1.06;75.44;
0.011973839;0.67;264577545;51987271 ;0.95;63.33;
0.001929934;0.09; 18293456;26513802 ;1.45;34.34;
0.001499029;0.04; 14995701;26177206 ;1.75;56.91;
0.001515620;0.07; 14754268;26277007 ;1.78;100.00;
0.001501481;0.07; 15412943;26651197 ;1.73;57.69;
0.001534460;0.04; 16398911;28104553 ;1.71;45.45;
0.001510715;0.04; 14613679;26038154 ;1.78;51.83;
0.001611578;0.03;  9026410;13827908 ;1.53;27.27;
0.001676874;0.05;  8885570;14040758 ;1.58;36.45;
0.001605868;0.08;  9010172;14622793 ;1.62;47.50;
0.001764415;0.07;  8737629;13902050 ;1.59;100.00;
0.001505811;0.04;  9023800;14436411 ;1.60;100.00;
0.001467389;0.07; 14670026;22279941 ;1.52;50.00;
0.001466026;0.04; 21187853;27952771 ;1.32;45.34;
0.001494434;0.07; 10223673;15620914 ;1.53;61.11;
0.001498949;0.04;  9599439;15054248 ;1.57;50.00;
0.001458280;0.03;  2662636; 1434585 ;0.54;;
0.001517818;0.02;  9278537;12270396 ;1.32;;
