tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001541290;0.06; 14511045;10409717 ;0.72;29.34;
0.001719895;0.03;  9478412; 7721263 ;0.81;25.00;
0.007973003;0.44;361374143;88770397 ;1.35;87.34;
0.007970762;0.44;259949592;48908287 ;1.34;87.50;
0.011970042;0.67;362629062;84067218 ;1.33;100.00;
0.011973723;0.67;361086688;83249101 ;1.34;93.81;
0.011935589;0.66;362570568;80561684 ;1.33;100.00;
0.011945045;0.67;241268953;21525556 ;1.33;100.00;
0.011972529;0.66;362495107;81649966 ;1.33;84.84;
0.011943409;0.67;242633505;20712880 ;1.32;87.50;
0.011972728;0.66;147820379;95834384 ;1.32;100.00;
0.011963381;0.62;362629183;73339468 ;1.31;91.86;
0.007974831;0.44;362485440;77039897 ;1.32;100.00;
0.011975013;0.66;362482202;70001919 ;1.30;92.59;
0.011961753;0.66;362490647;76448575 ;1.31;100.00;
0.009584396;0.51;107494345;42078626 ;1.32;100.00;
0.011985137;0.66;241386834;19057048 ;1.32;100.00;
0.004565845;0.28;350090302;62378358 ;1.32;87.93;
0.011932807;0.67;362539604;76011303 ;1.31;87.50;
0.011942888;0.68;361572197;73324999 ;1.31;87.50;
0.011983723;0.66;362469177;77529187 ;1.32;100.00;
0.011978798;0.67;361680279;82988221 ;1.34;87.50;
0.011975292;0.68;241552441;21837907 ;1.33;88.02;
0.011922921;0.68;361562763;79196810 ;1.33;97.73;
0.007937307;0.46;362566453;79421313 ;1.32;87.30;
0.011970517;0.68;240189756;17232712 ;1.32;87.32;
0.008019751;0.46;362470665;78436242 ;1.32;94.80;
0.011970018;0.68;362559144;78327605 ;1.32;97.40;
0.010992441;0.62;361322011;81425283 ;1.33;74.07;
0.007971019;0.45;361376113;71421014 ;1.30;100.00;
0.007980390;0.45;361367899;73897477 ;1.31;87.94;
0.009543158;0.51;361140744;70177186 ;1.30;100.00;
0.001503775;0.11;241523309;22592252 ;1.34;100.00;
0.011922960;0.69;362449097;76561060 ;1.31;100.00;
0.013500089;0.74; 43651597;63162512 ;1.45;87.34;
0.003976799;0.22; 43701078;63614539 ;1.46;93.91;
0.008030964;0.46;362648024;30290110 ;1.19;100.00;
0.011976035;0.69;361437187;74932396 ;1.31;100.00;
0.011972880;0.69;362658569;72757065 ;1.30;97.45;
0.011967490;0.69;361964766;77321882 ;1.32;100.00;
0.011981602;0.68;241614452;13410753 ;1.30;52.00;
0.011943762;0.68;362470575;71995881 ;1.30;0.00;
0.011977891;0.69;361444532;68154583 ;1.30;100.00;
0.011934199;0.68;241621297;16504938 ;1.31;93.40;
0.007976205;0.45;361334337;61876200 ;1.28;87.30;
0.011972812;0.69;278539963;68396936 ;1.32;100.00;
0.011923098;0.70;362409872;69835133 ;1.30;87.69;
0.011973302;0.70;362715739;70382385 ;1.30;100.00;
0.011973883;0.64;362450800;68092841 ;1.29;87.50;
0.015946346;0.91;242600177;18862253 ;1.31;99.09;
0.011972464;0.69;280738757;67492844 ;1.31;100.00;
0.008025332;0.46;361292337;69483332 ;1.30;100.00;
0.008020253;0.46;362372712;92856208 ;1.36;97.60;
0.015642669;0.91;242201247;16786692 ;1.31;92.14;
0.007977329;0.46;361436319;71244197 ;1.30;100.00;
0.009673426;0.58;361344766;71373134 ;1.30;100.00;
0.011968490;0.70;362431647;77774476 ;1.32;100.00;
0.011985528;0.70;361366547;73926599 ;1.31;100.00;
0.011927406;0.69;362443218;77978371 ;1.32;86.21;
0.011968146;0.70;361318190;79463713 ;1.33;87.50;
0.011935591;0.70;139017785;83321140 ;1.32;100.00;
0.008032916;0.46;198701528;60573203 ;1.31;91.75;
0.011974511;0.69;317517033;12565067 ;1.30;87.50;
0.007970028;0.46;362405652;78650805 ;1.32;87.34;
0.011972011;0.70;361307292;73870228 ;1.31;90.87;
0.007971273;0.45;242639562;14321396 ;1.30;97.47;
0.016013317;0.92;241477253;09179068 ;1.28;71.74;
0.011976640;0.69;361325023;69197862 ;1.30;85.94;
0.011978052;0.70;361289597;80555253 ;1.33;100.00;
0.011929856;0.69;362508579;75669497 ;1.31;100.00;
0.011935471;0.71;361186211;66524481 ;1.29;100.00;
0.011933715;0.69;360411791;68403837 ;1.30;100.00;
0.011936652;0.70;241559720;18066632 ;1.32;87.84;
0.011937426;0.70;361409475;75290670 ;1.32;75.00;
0.011925025;0.70;291963601;80014947 ;1.30;87.50;
0.011976547;0.69;361316102;67979451 ;1.30;87.32;
0.009869004;0.59;241038288;13478441 ;1.30;100.00;
0.011975379;0.70;187318111;42650682 ;1.30;100.00;
0.011974903;0.70;240147106;12281989 ;1.30;75.93;
0.011974041;0.71;353254149;54731438 ;1.29;88.50;
0.011970910;0.71;362557250;71342441 ;1.30;100.00;
0.011936253;0.71;361469785;68219192 ;1.30;100.00;
0.011969462;0.71;241026206;17106350 ;1.32;100.00;
0.007868125;0.47;242943233;17812863 ;1.31;100.00;
0.015970013;0.95;242990307;15172504 ;1.30;91.47;
0.011973073;0.71;241084523;19606759 ;1.33;88.07;
0.019616476;1.11;241541394;15599789 ;1.31;100.00;
0.011969510;0.71;363883283;81209890 ;1.32;77.78;
0.008022694;0.47;361315579;72612432 ;1.31;98.36;
0.007975232;0.47;361385045;76473624 ;1.32;100.00;
0.011943557;0.71;362572499;67680674 ;1.29;100.00;
0.011971706;0.71;362440921;78229826 ;1.32;95.43;
0.011040858;0.66;241628012;12924357 ;1.30;88.56;
0.010837153;0.66;361239183;69997642 ;1.30;92.32;
0.003972523;0.24;362533783;66924637 ;1.29;100.00;
0.011974089;0.71;241282094;83698607 ;1.18;91.36;
0.004993123;0.30;330811529;56550598 ;1.38;87.18;
0.011936088;0.71;133650186;73272356 ;1.30;87.38;
0.007921564;0.42;361334603;65714463 ;1.29;85.30;
0.010848339;0.66;361283751;67868647 ;1.30;100.00;
0.019691079;1.17;362538197;66264601 ;1.29;100.00;
0.011863293;0.65;361327104;69411688 ;1.30;100.00;
0.011977760;0.65;362802171;74945206 ;1.31;100.00;
0.011976899;0.66;362557446;71348747 ;1.30;97.45;
0.011975009;0.70;362527165;71326123 ;1.30;100.00;
0.011972435;0.71;361458665;77431509 ;1.32;91.55;
0.010802853;0.66;119847244;58417633 ;1.32;87.34;
0.011981278;0.70;362598239;65398926 ;1.28;91.36;
