tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001487602;0.02; 10842112; 3532185 ;0.33;0.00;
0.001665776;0.09;  8538146; 7882394 ;0.92;100.00;
0.011935597;0.67;361642513;82984365 ;1.06;100.00;
0.010151037;0.57;360369004;86525549 ;1.07;100.00;
0.005004459;0.28;265605876;72901903 ;1.03;100.00;
0.011946364;0.68;359851088;80104259 ;1.06;100.00;
0.011957479;0.68;295348534;11919473 ;1.06;100.00;
0.011897957;0.67;359542585;79800708 ;1.06;88.89;
0.001469049;0.08; 14544424;25966459 ;1.79;65.22;
0.001600948;0.08; 17492097;28597441 ;1.63;60.19;
0.001474138;0.04; 14300514;25387443 ;1.78;53.65;
0.001591406;0.04; 14754451;26388365 ;1.79;100.00;
0.001767223;0.08; 14285486;25654047 ;1.80;65.03;
0.001482462;0.04; 14529724;25492258 ;1.75;58.52;
0.001478266;0.01;  2859723; 1477108 ;0.52;29.34;
0.001503838;0.07;  9052548;13441707 ;1.48;53.33;
0.001714428;0.08;  8214755;12982049 ;1.58;33.33;
0.001519472;0.08;  9210241;14745069 ;1.60;100.00;
0.001499609;0.04; 12018535;19633438 ;1.63;45.33;
0.001471878;0.07;  9142608;14248137 ;1.56;40.89;
0.001440268;0.07; 14174892;21871855 ;1.54;52.94;
0.001483763;0.08;  9474070;13954090 ;1.47;34.58;
0.001481175;0.07;  8528810; 9800084 ;1.15;100.00;
0.001478366;0.04;  3828837; 1607739 ;0.42;;
0.001461980;0.01;  8892356;11651289 ;1.31;;
0.001452130;0.01;  9637902;11477550 ;1.19;;
