tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001571088;0.02;  8910171;11663241 ;1.31;16.28;
0.001557904;0.05; 48602479;30563534 ;0.63;78.08;
0.002309087;0.10; 84944208;46207965 ;0.54;100.00;
0.001548936;0.05; 68400946;39713095 ;0.58;100.00;
0.001562133;0.10; 51798213;30366636 ;0.59;94.88;
0.003148820;0.15; 52755178;30224308 ;0.57;87.04;
0.001549572;0.05; 56285684;32240518 ;0.57;91.11;
0.002042998;0.10; 80358868;46714847 ;0.58;90.80;
0.003584154;0.20; 61304026;35562009 ;0.58;91.17;
0.001689306;0.10; 51636483;29652989 ;0.57;0.00;
0.001884906;0.09; 48425410;23526669 ;0.49;100.00;
0.002558430;0.15; 49061923;27860645 ;0.57;95.04;
0.001548361;0.10; 49071195;25663536 ;0.52;100.00;
0.002521678;0.15;100974006;61527063 ;0.61;94.80;
0.002491965;0.15; 77879650;45334669 ;0.58;91.32;
0.003376853;0.14; 57220661;30230485 ;0.53;87.04;
0.005039419;0.24; 54805002;27537917 ;0.50;91.73;
0.003522958;0.15; 88615690;49722257 ;0.56;100.00;
0.003114150;0.15;119461053;65918287 ;0.55;75.00;
0.001941941;0.10; 69551192;39921138 ;0.57;85.37;
0.002983361;0.14; 48514224;23716207 ;0.49;94.55;
0.003619207;0.15; 47202591;28420464 ;0.60;90.50;
0.001576769;0.05; 47828995;24197050 ;0.51;92.40;
0.001554258;0.10; 49785426;25434532 ;0.51;74.14;
0.002210060;0.10; 48429813;29275192 ;0.60;100.00;
0.002197013;0.10; 47995695;31454736 ;0.66;87.39;
0.001551301;0.10;103728645;69539588 ;0.67;95.56;
0.004241351;0.21;104423475;72795030 ;0.70;94.85;
0.001571384;0.05; 49140613;28484072 ;0.58;87.26;
0.003122158;0.15; 43422195;29043132 ;0.67;100.00;
0.001547056;0.10; 43054177;28722516 ;0.67;90.58;
0.001549959;0.10; 43008614;28557968 ;0.66;75.00;
0.001513359;0.10; 47968758;29615034 ;0.62;100.00;
0.001606911;0.10; 61263972;36117456 ;0.59;93.97;
0.001473554;0.04;  2836710; 1472522 ;0.52;;
0.001462419;0.02;  9568267;12098461 ;1.26;;
0.001430268;0.01; 10226283;10719702 ;1.05;;
0.001477359;0.02;  9302386;13271458 ;1.43;;
0.001475386;0.02;  9268911;11553613 ;1.25;;
0.001471086;0.02;  8900323;12487746 ;1.40;;
0.001504628;0.02;  8635851;12131806 ;1.40;;
0.001454910;0.01; 15024748;16092777 ;1.07;;
0.001447646;0.02; 19578953;12943378 ;0.66;;
0.001449258;0.02;  9705812;11959888 ;1.23;;
