tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001713031;0.05; 10362219; 8490821 ;0.82;45.19;
0.001445309;0.06; 20910455;16690406 ;0.80;16.07;
0.002222147;0.10;160989761;03398332 ;0.64;100.00;
0.003236360;0.15; 96681306;53224076 ;0.55;98.47;
0.004941457;0.26;116870728;75782726 ;0.65;89.89;
0.001580266;0.10; 48700786;28410200 ;0.58;100.00;
0.002784091;0.10; 52735243;31386978 ;0.60;94.60;
0.001710508;0.10; 84284772;48547121 ;0.58;94.67;
0.001555815;0.05; 48943671;27116321 ;0.55;100.00;
0.003473096;0.20;105258322;60261608 ;0.57;91.63;
0.001607694;0.05; 50310694;28091581 ;0.56;89.16;
0.001844732;0.10; 86066778;49105307 ;0.57;100.00;
0.001530567;0.10; 59364647;36265848 ;0.61;87.72;
0.002081918;0.10; 47830078;24865556 ;0.52;87.93;
0.001520323;0.10; 86765354;51086240 ;0.59;100.00;
0.001626479;0.05; 83154369;48882746 ;0.59;91.65;
0.005536289;0.25; 53187369;32892066 ;0.62;90.82;
0.001563178;0.10; 49023625;24997784 ;0.51;88.14;
0.002129437;0.10; 48467864;28111314 ;0.58;92.29;
0.001531657;0.10; 59318993;32186906 ;0.54;90.92;
0.003098953;0.15; 69340983;39015811 ;0.56;100.00;
0.002095457;0.10; 49696173;31211140 ;0.63;100.00;
0.001652859;0.05; 83450840;53258888 ;0.64;100.00;
0.001666689;0.05; 66104523;33749197 ;0.51;100.00;
0.001863908;0.10; 48175439;27888570 ;0.58;86.65;
0.001568818;0.11; 41767275;29476423 ;0.71;88.09;
0.001544361;0.10; 49555268;27968635 ;0.56;94.19;
0.001533390;0.05;100164406;53324944 ;0.53;100.00;
0.003582115;0.21; 72750894;51594838 ;0.71;86.61;
0.003363651;0.16; 44067005;31823636 ;0.72;87.32;
0.001958080;0.10; 63022749;43568702 ;0.69;88.73;
0.001424696;0.09; 35513262;23901017 ;0.67;88.69;
0.001609093;0.10; 98458212;65613576 ;0.67;100.00;
0.001468666;0.05; 47050549;28498682 ;0.61;92.15;
0.001523588;0.10; 48420393;29745291 ;0.61;41.67;
0.001525725;0.02;  2931448; 1463100 ;0.50;;
