tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001465519;0.04; 12805059; 9658118 ;0.75;39.61;
0.001597487;0.03;  8727629; 8213522 ;0.94;56.25;
0.011962622;0.66; 47272914;44074510 ;0.93;100.00;
0.005353203;0.33;361114827;55824818 ;0.99;75.00;
0.011977215;0.66;362392972;52232944 ;0.97;100.00;
0.011949735;0.66;293168389;87482489 ;0.98;100.00;
0.011962729;0.67;361261575;50723814 ;0.97;88.60;
0.001468293;0.05; 20212736;20806561 ;1.03;68.33;
0.001452886;0.04; 15209649;20147611 ;1.32;54.74;
0.001482385;0.07; 14498969;20511137 ;1.41;57.70;
0.001476126;0.04; 16580534;20392347 ;1.23;54.84;
0.001466696;0.08; 14979837;20450652 ;1.37;59.04;
0.001476624;0.07; 15524190;21314600 ;1.37;65.00;
0.001438824;0.04; 14277221;20364554 ;1.43;;
0.001499419;0.03;  9264139;11828551 ;1.28;35.00;
0.001475928;0.06; 26273953;24422034 ;0.93;43.95;
0.001457717;0.04;  9607586;11646542 ;1.21;100.00;
0.001518222;0.06; 19534154;23613174 ;1.21;40.07;
0.001815318;0.07; 20987260;23905428 ;1.14;38.19;
0.001476652;0.04; 23257676;21126116 ;0.91;42.46;
0.001475595;0.07;  8414164; 9837153 ;1.17;100.00;
0.001505442;0.06; 23292752;23339444 ;1.00;36.36;
0.001517513;0.03;  3263006; 1544791 ;0.47;;
0.001475936;0.02;  8955804;12802625 ;1.43;;
0.001505663;0.01; 10861117;10969927 ;1.01;;
0.001490582;0.01;  9110792;11260014 ;1.24;;
0.001505818;0.02; 10127103;13111671 ;1.29;;
0.001447474;0.02;  8400297;11574586 ;1.38;;
0.001473270;0.01; 15852568;14355002 ;0.91;;
