tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001774392;0.04; 14872605; 8792397 ;0.59;41.59;
0.001654464;0.08;  9860459; 4276775 ;0.43;12.22;
0.011856136;0.59;353937356;68327049 ;0.76;75.41;
0.012584747;0.69;480341058;39851820 ;0.92;100.00;
0.011917763;0.62;358626540;83805322 ;0.79;86.38;
0.008004816;0.43;357106287;83009518 ;0.79;94.56;
0.011856466;0.65;351510706;04951601 ;0.87;91.65;
0.011922548;0.64; 74389859;67539817 ;0.91;100.00;
0.011877822;0.66;358912249;56547882 ;0.71;75.00;
0.015771330;0.81;238389422;02822098 ;0.85;100.00;
0.007922915;0.43;118744288;81092708 ;0.68;100.00;
0.008056556;0.45;359222977;67135992 ;0.74;100.00;
0.008537328;0.43;425408382;00222861 ;0.71;89.96;
0.011948984;0.67;360695300;18525982 ;0.88;75.76;
0.001708168;0.11; 55740377;52219062 ;0.94;58.82;
0.001840250;0.11; 42849298;61276699 ;1.43;45.28;
0.001887871;0.05; 23248421;44258051 ;1.90;74.75;
0.001490719;0.08; 14527881;29204761 ;2.01;100.00;
0.001549593;0.08; 14158111;28501871 ;2.01;55.67;
0.001540467;0.04; 15327863;28843385 ;1.88;56.25;
0.001560688;0.04; 14857605;29788438 ;2.00;60.13;
0.001631675;0.04; 15396517;30581283 ;1.99;59.26;
0.001516110;0.04; 14828734;29288111 ;1.98;53.21;
0.001489681;0.08; 15329056;29348806 ;1.91;63.32;
0.001548951;0.04; 14841312;29644343 ;2.00;65.20;
0.001501019;0.08; 15803333;28638654 ;1.81;71.04;
0.001488400;0.03;  8692876;15083919 ;1.74;50.69;
0.001559409;0.04;  9317150;15662012 ;1.68;32.74;
0.001521705;0.08;  9888240;16010119 ;1.62;42.11;
0.001746549;0.04;  9607479;16301104 ;1.70;37.76;
0.001443228;0.04;  9215820;16205204 ;1.76;58.82;
0.001481621;0.04; 15189817;23744028 ;1.56;36.08;
0.001456922;0.08;  8940138;15940421 ;1.78;61.11;
0.001541251;0.04;  9285041;15173712 ;1.63;36.57;
0.001565953;0.08; 10252097;16207846 ;1.58;61.11;
0.001493603;0.08; 27060825;22274015 ;0.82;53.33;
0.001508807;0.04;  9132964;15961238 ;1.75;36.41;
0.001722955;0.08;  9274386;16065829 ;1.73;42.21;
0.001635766;0.05;  9093472; 4414131 ;0.49;;
0.001501828;0.01;  9635178;12093300 ;1.26;;
0.001427117;0.02;  9220237;10998063 ;1.19;;
0.001588860;0.01;  8752460;13287069 ;1.52;;
0.001440337;0.01;  9275978;12225620 ;1.32;;
0.001477715;0.01;  8980934;13116560 ;1.46;;
0.001486612;0.02;  8997162;13558301 ;1.51;;
0.001411734;0.01; 10262678;10780219 ;1.05;;
0.001470871;0.01;  9981084;13323905 ;1.33;;
0.001490034;0.01; 11026034;10381023 ;0.94;;
