tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001517750;0.06;  9262723;10998045 ;1.19;27.78;
0.001463402;0.05; 19501940;13551432 ;0.69;36.56;
0.007896573;0.43;361865358;72881232 ;1.03;87.50;
0.010304775;0.55;383774112;18600979 ;1.09;100.00;
0.013677374;0.77;361571097;90926592 ;1.08;100.00;
0.004011473;0.22;238645132;54356048 ;1.07;100.00;
0.011955487;0.64;359526375;87076499 ;1.08;100.00;
0.008017210;0.44;360759297;76172715 ;1.04;85.51;
0.001463176;0.04; 19910462;34322325 ;1.72;0.00;
0.001464552;0.08; 14453452;25913916 ;1.79;62.12;
0.001576689;0.04; 15083524;25445596 ;1.69;50.24;
0.001531922;0.08; 14065086;24477237 ;1.74;100.00;
0.001496511;0.04; 14407276;25061278 ;1.74;46.15;
0.001578265;0.07; 14061170;24628969 ;1.75;70.37;
0.001785666;0.07;  9550364;13792116 ;1.44;25.93;
0.001484291;0.03; 15060245;22827304 ;1.52;100.00;
0.001621491;0.05;  8559103;13692427 ;1.60;0.00;
0.001469598;0.05; 15114396;22439244 ;1.48;35.72;
0.001488392;0.05;  8876571;14082800 ;1.59;100.00;
0.001409029;0.02;  9041758;14301582 ;1.58;100.00;
0.001500450;0.03;  8832566;14015482 ;1.59;55.58;
0.001435355;0.03;  8791234;14356213 ;1.63;44.83;
0.001465629;0.05;  9223416;14765168 ;1.60;22.58;
0.001494150;0.02;  2859625; 1916877 ;0.67;;
0.001461429;0.02;  2873419; 1374878 ;0.48;;
0.001579126;0.02;  3597693; 1666264 ;0.46;;
0.001425675;0.01;  3753572; 1719268 ;0.46;;
0.001464172;0.02;  2599603; 1351941 ;0.52;;
