tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001450907;0.06; 16714195;13997991 ;0.84;20.56;
0.001515721;0.04; 14934032;15402408 ;1.03;50.00;
0.008030006;0.43;483079398;14537780 ;1.07;89.60;
0.011916917;0.64;360097416;86209659 ;1.07;89.16;
0.010277364;0.54;360566378;89034500 ;1.08;87.50;
0.011919902;0.65;359924319;85729148 ;1.07;100.00;
0.011946840;0.66;361671077;56831169 ;0.99;91.96;
0.008032437;0.42;362443069;84853951 ;1.06;73.95;
0.001441537;0.05; 17495390;25894658 ;1.48;51.72;
0.001558273;0.08; 15844058;25152519 ;1.59;55.98;
0.001818193;0.08; 14287795;24950287 ;1.75;50.00;
0.001587057;0.08; 18536847;27704424 ;1.49;56.95;
0.001585183;0.08; 19658361;25968980 ;1.32;100.00;
0.001594376;0.08; 18288122;27021000 ;1.48;59.49;
0.001490866;0.04; 13792776;23764502 ;1.72;50.10;
0.001474744;0.03; 11990436;14548668 ;1.21;42.51;
0.001440968;0.03;  8944570;14137471 ;1.58;47.07;
0.001478808;0.03; 15216515;22848618 ;1.50;44.09;
0.001482387;0.03;  9441044;14048834 ;1.49;35.84;
0.001478061;0.05;  8740727;14646989 ;1.68;100.00;
0.001469766;0.05;  9269902;16095227 ;1.74;40.82;
0.001480958;0.03;  9665426;14790816 ;1.53;40.43;
0.001517885;0.05; 15689390;22702219 ;1.45;44.44;
0.001521259;0.03;  8821910;14108125 ;1.60;31.58;
0.001515550;0.01;  3087564; 1528799 ;0.50;;
