tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001698588;0.04; 10130547; 9566978 ;0.94;15.91;
0.001494681;0.07; 25402625;18479838 ;0.73;39.10;
0.011885370;0.63;358862840;35043304 ;0.65;90.26;
0.012899266;0.68;241555785;72644285 ;0.71;67.50;
0.011924757;0.62;361575794;93690517 ;0.81;100.00;
0.011747890;0.60;249238088;74840281 ;0.70;66.67;
0.011914545;0.64;357895872;76059580 ;0.77;93.89;
0.011900732;0.63;359218951;06327548 ;0.85;87.50;
0.011859241;0.64;241175698;84332358 ;0.76;90.10;
0.011941221;0.64;355791625;72889635 ;0.77;100.00;
0.008055662;0.41;479859611;04652507 ;0.63;74.60;
0.011943297;0.58; 69670989;52648499 ;0.76;87.13;
0.002140134;0.17;357139385;56190007 ;0.72;90.57;
0.012211008;0.64;252195722;16949349 ;0.86;87.69;
0.011883238;0.62;360322899;24137180 ;0.62;89.43;
0.001656304;0.09; 54916012;50852672 ;0.93;75.00;
0.001514366;0.04; 15135622;29146251 ;1.93;0.00;
0.001610673;0.07; 14880197;30195336 ;2.03;55.78;
0.001601164;0.04; 14344693;28996857 ;2.02;45.91;
0.001559255;0.04; 14623913;28381368 ;1.94;57.39;
0.002141236;0.08; 15365550;29596036 ;1.93;48.70;
0.001487498;0.04; 14944968;29877142 ;2.00;50.00;
0.001558772;0.08; 14746834;29261536 ;1.98;59.77;
0.001601153;0.04; 14964033;28161848 ;1.88;100.00;
0.001950744;0.09; 14298535;28603181 ;2.00;42.11;
0.001895257;0.08; 15288893;29209226 ;1.91;55.52;
0.001512828;0.08; 15175252;28892881 ;1.90;51.61;
0.001523396;0.01;  9285745; 9626792 ;1.04;33.33;
0.001451528;0.06;  9077497;15214059 ;1.68;53.33;
0.001432260;0.05;  8881915;16210642 ;1.83;44.52;
0.001451750;0.03; 14571024;23748874 ;1.63;42.50;
0.001449323;0.06;  8818762;15916679 ;1.80;40.36;
0.001426096;0.03;  8999456;14879691 ;1.65;43.60;
0.001452977;0.03;  9234957;15927769 ;1.72;47.06;
0.001445810;0.05;  8976666;15300780 ;1.70;100.00;
0.001438029;0.03; 14597890;25093536 ;1.72;50.00;
0.001438523;0.06;  9040853;16262812 ;1.80;45.84;
0.001429324;0.06;  8985089;15373412 ;1.71;44.77;
0.001467079;0.06; 21086078;25700773 ;1.22;44.44;
0.001576806;0.06; 16047760;24404552 ;1.52;40.80;
0.001490450;0.06; 13132368;22315339 ;1.70;48.45;
0.001540523;0.01;  2745590; 1426109 ;0.52;;
0.001480693;0.02;  3271963; 1557924 ;0.48;;
