tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001462884;0.05;  9486773; 7996884 ;0.84;30.77;
0.001505702;0.05; 14245682;17147898 ;1.20;;
0.004982229;0.26;104842959;73450755 ;0.70;89.75;
0.006213479;0.28;111475682;77277477 ;0.69;100.00;
0.003493407;0.15;155452868;06598484 ;0.69;87.69;
0.001838156;0.10;129814080;79987447 ;0.62;100.00;
0.003688331;0.20;109947382;66793296 ;0.61;100.00;
0.002423662;0.14; 54543881;33179389 ;0.61;87.50;
0.004827144;0.25; 81614413;43798586 ;0.54;94.46;
0.001662366;0.10; 63887232;35104869 ;0.55;95.27;
0.001875017;0.10; 55039609;33644949 ;0.61;87.72;
0.002209583;0.10; 54371303;31441742 ;0.58;92.02;
0.001531113;0.05; 50066389;27927461 ;0.56;100.00;
0.001634962;0.10; 49125471;28151767 ;0.57;75.00;
0.002889868;0.14; 90357699;51874252 ;0.57;92.27;
0.001650457;0.10; 94005201;48023253 ;0.51;87.44;
0.001972174;0.09; 49996566;31236762 ;0.62;100.00;
0.003538925;0.20; 86671976;49552561 ;0.57;89.46;
0.001779719;0.10; 56336021;31854246 ;0.57;75.38;
0.003187613;0.15; 86258411;45615713 ;0.53;75.00;
0.001969554;0.10; 74879333;38146010 ;0.51;90.81;
0.004054068;0.20;102131336;56570767 ;0.55;94.45;
0.002924452;0.15;123477335;69446173 ;0.56;75.00;
0.003199930;0.15; 51842011;32649851 ;0.63;100.00;
0.003040598;0.15; 79764851;56623104 ;0.71;100.00;
0.003289191;0.14; 60272927;35726424 ;0.59;95.30;
0.002712192;0.09; 47299456;28201532 ;0.60;87.50;
0.001827594;0.09; 41682977;28121085 ;0.67;90.78;
0.001530236;0.05; 46757977;28739141 ;0.61;90.67;
0.001502007;0.10; 47501080;31196608 ;0.66;87.32;
0.001856331;0.10; 47501530;28896308 ;0.61;90.64;
0.002815337;0.15; 46849170;28579085 ;0.61;36.57;
0.001548943;0.02;  3291181; 1528216 ;0.46;;
0.001509243;0.01;  3354371; 1596956 ;0.48;;
