-65,-71,-64,-78,-72,1
-59,-62,-60,-69,-73,1
-64,-62,-65,-69,-73,1
-64,-66,-58,-70,-71,1
-61,-66,-61,-72,-71,1
-63,-71,-58,-71,-67,1
-60,-67,-63,-72,-66,1
-72,-63,-57,-67,-66,1
-61,-70,-59,-70,-75,1
-61,-66,-59,-71,-66,1
-61,-62,-66,-67,-66,1
-70,-62,-58,-71,-77,1
-61,-62,-72,-70,-73,1
-64,-65,-67,-73,-73,1
-65,-63,-60,-70,-67,1
-61,-62,-56,-73,-73,1
-68,-62,-60,-68,-70,1
-59,-62,-65,-67,-72,1
-61,-68,-62,-67,-72,1
-58,-71,-58,-70,-70,1
-65,-62,-62,-68,-74,1
-60,-61,-64,-75,-71,1
-61,-62,-62,-68,-75,1
-59,-75,-62,-75,-73,1
-59,-62,-60,-68,-76,1
-61,-67,-58,-68,-69,1
-60,-66,-64,-77,-67,1
-59,-71,-59,-68,-73,1
-61,-63,-68,-68,-66,1
-60,-67,-59,-73,-67,1
-67,-69,-59,-67,-67,1
-63,-62,-60,-72,-65,1
-58,-62,-61,-70,-67,1
-62,-67,-59,-67,-71,1
-59,-62,-62,-67,-77,1
-57,-62,-59,-73,-67,1
-61,-67,-58,-73,-67,1
-58,-68,-59,-67,-67,1
-63,-68,-63,-67,-67,1
-64,-68,-63,-66,-70,1
-58,-62,-62,-80,-73,1
-59,-62,-65,-66,-66,1
-59,-72,-61,-77,-73,1
-58,-63,-67,-68,-75,1
-62,-77,-60,-73,-67,1
-58,-63,-66,-66,-66,1
-59,-62,-61,-72,-74,1
-62,-70,-62,-70,-71,1
-65,-62,-59,-68,-67,1
-59,-62,-61,-70,-74,1
-64,-62,-66,-67,-68,1
-59,-76,-61,-70,-75,1
-59,-63,-65,-77,-67,1
-65,-75,-59,-69,-71,1
-59,-67,-61,-71,-66,1
-58,-62,-59,-74,-68,1
-65,-75,-60,-69,-66,1
-59,-63,-65,-76,-68,1
-59,-63,-61,-66,-66,1
-61,-63,-64,-75,-74,1
-59,-77,-59,-68,-66,1
-59,-63,-62,-72,-67,1
-59,-63,-65,-66,-68,1
-59,-63,-60,-69,-67,1
-59,-61,-59,-76,-68,1
-59,-76,-61,-68,-66,1
-58,-69,-63,-72,-66,1
-65,-63,-59,-74,-74,1
-64,-78,-61,-68,-66,1
-59,-63,-66,-66,-68,1
-66,-72,-60,-66,-66,1
-59,-68,-63,-65,-68,1
-59,-62,-57,-67,-71,1
-59,-72,-63,-68,-74,1
-59,-62,-63,-67,-71,1
-59,-62,-66,-73,-75,1
-61,-63,-63,-68,-67,1
-64,-69,-62,-68,-67,1
-61,-78,-60,-72,-71,1
-59,-63,-59,-68,-65,1
-59,-62,-60,-70,-66,1
-61,-69,-59,-70,-70,1
