Modelo,Configuracion,Precision,desvPrecision,errorMetrico
LinearDiscriminantAnalysis,"[3, 3, 3, 3, 3]",0.625618358477,0.0210842743655,0.358028749968
LogisticRegression,"[0, 0, 0, 0, 0]",0.605438323353,0.0260485083433,0.358851393449
LogisticRegression,"[5, 5, 5, 5, 5]",0.603145812024,0.0212158914877,0.484031427598
LinearDiscriminantAnalysis,"[2, 2, 2, 2, 2]",0.578655533782,0.0199728943849,0.359756081656
LogisticRegression,"[3, 3, 3, 3, 3]",0.571866111452,0.013246010168,0.425503399
MLPClassifier,"[0, 0, 0, 0, 0]",0.570670259481,0.0236683733174,0.364502596496
MLPClassifier,"[5, 5, 5, 5, 5]",0.553357199682,0.0222174937141,0.472246314578
LinearDiscriminantAnalysis,"[4, 4, 4, 4, 4]",0.543107562491,0.0243615675336,0.50400164191
MLPClassifier,"[3, 3, 3, 3, 3]",0.536621005605,0.018267884856,0.407601961502
LinearDiscriminantAnalysis,"[1, 1, 1, 1, 1]",0.519638313341,0.0214421123982,0.443793684573
LogisticRegression,"[2, 2, 2, 2, 2]",0.50764207208,0.0155532902803,0.392593857872
LogisticRegression,"[1, 1, 1, 1, 1]",0.492954561977,0.0249530489176,0.486220091444
LogisticRegression,"[4, 4, 4, 4, 4]",0.488815950642,0.0259180713229,0.609315417831
MLPClassifier,"[4, 4, 4, 4, 4]",0.443250011341,0.0371838087179,0.634139379298
MLPClassifier,"[1, 1, 1, 1, 1]",0.436149036714,0.038036132811,0.466017040553
MLPClassifier,"[2, 2, 2, 2, 2]",0.424226804124,0.0274340868425,0.4896477298
