Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.8307956777996071,4.174618458747863,0.03036608695983887,"[ 0.82352941  0.86029412  0.78869779  0.86486486  0.8009828   0.80835381
  0.84520885  0.85257985  0.83046683  0.83292383]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8298133595284872,2.9779367446899414,0.031381654739379886,"[ 0.83088235  0.85784314  0.7960688   0.85012285  0.81326781  0.8034398
  0.85257985  0.84275184  0.83538084  0.81572482]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8266208251473477,1.9117571592330933,0.03272559642791748,"[ 0.83088235  0.86029412  0.7960688   0.85012285  0.81081081  0.8009828
  0.84766585  0.83046683  0.82555283  0.81326781]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.819007858546169,7.695251560211181,0.03186445236206055,"[ 0.80147059  0.84558824  0.79361179  0.83783784  0.80589681  0.81081081
  0.83538084  0.84766585  0.82309582  0.78869779]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.818516699410609,1.2758207082748414,0.0338245153427124,"[ 0.82598039  0.85784314  0.77641278  0.84520885  0.8009828   0.80589681
  0.82800983  0.82309582  0.80835381  0.81326781]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.8150785854616895,8.549881839752198,0.031096792221069335,"[ 0.81127451  0.84803922  0.76167076  0.83292383  0.79361179  0.8034398
  0.83538084  0.83538084  0.82063882  0.80835381]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.7959233791748527,9.877382278442383,0.03420553207397461,"[ 0.80882353  0.80882353  0.75184275  0.83292383  0.74692875  0.7960688
  0.82800983  0.80835381  0.8009828   0.77641278]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.787573673870334,10.54281325340271,0.03280405998229981,"[ 0.77205882  0.82107843  0.73218673  0.78378378  0.77149877  0.78378378
  0.84275184  0.82555283  0.76904177  0.77395577]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.7524557956777996,12.271452641487121,0.037244558334350586,"[ 0.74509804  0.79411765  0.77886978  0.7027027   0.74692875  0.71990172
  0.73710074  0.77395577  0.79115479  0.73464373]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6974459724950884,13.310871577262878,0.03841280937194824,"[ 0.73529412  0.66666667  0.65847666  0.68550369  0.72972973  0.73955774
  0.73218673  0.65110565  0.70761671  0.66830467]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.644155206286837,13.361745595932007,0.03477954864501953,"[ 0.64460784  0.72303922  0.59213759  0.62653563  0.59213759  0.6044226
  0.63882064  0.68796069  0.65356265  0.67813268]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6065815324165029,13.605093264579773,0.03484203815460205,"[ 0.59803922  0.61519608  0.58722359  0.67076167  0.55773956  0.58476658
  0.67321867  0.58230958  0.6044226   0.59213759]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5947937131630648,13.749697470664978,0.03451473712921142,"[ 0.54901961  0.57352941  0.59213759  0.60687961  0.62653563  0.66093366
  0.5995086   0.63390663  0.56756757  0.53808354]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5918467583497053,14.140150022506713,0.03885471820831299,"[ 0.54411765  0.61764706  0.56265356  0.62899263  0.59459459  0.53808354
  0.62653563  0.61425061  0.58968059  0.6019656 ]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5901277013752456,14.121095943450928,0.038887739181518555,"[ 0.58823529  0.62009804  0.58230958  0.54299754  0.61670762  0.59213759
  0.58230958  0.64373464  0.6019656   0.53071253]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5817779960707269,14.217550873756409,0.04057831764221191,"[ 0.55637255  0.5245098   0.46437346  0.57739558  0.63390663  0.67076167
  0.55528256  0.65601966  0.63390663  0.54545455]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5709724950884086,14.374244451522827,0.03925976753234863,"[ 0.54901961  0.6127451   0.5995086   0.51597052  0.6044226   0.54791155
  0.61916462  0.60687961  0.53071253  0.52334152]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.568762278978389,14.260852336883545,0.039467453956604004,"[ 0.54901961  0.62009804  0.55773956  0.51597052  0.56511057  0.56511057
  0.59213759  0.56265356  0.58968059  0.57002457]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5677799607072691,14.524805068969727,0.039622020721435544,"[ 0.54166667  0.63235294  0.59459459  0.57248157  0.57985258  0.58722359
  0.54791155  0.54054054  0.57739558  0.5036855 ]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5670432220039293,14.493352031707763,0.03932192325592041,"[ 0.54411765  0.63970588  0.56265356  0.52825553  0.59213759  0.53316953
  0.57985258  0.60687961  0.57739558  0.50614251]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.56213163064833,13.76702127456665,0.03542516231536865,"[ 0.52941176  0.62254902  0.5970516   0.57493857  0.56265356  0.58476658
  0.53316953  0.54299754  0.56019656  0.51351351]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.5567288801571709,14.021157455444335,0.035471558570861816,"[ 0.51715686  0.6127451   0.56511057  0.47665848  0.55282555  0.59213759
  0.56265356  0.58230958  0.59213759  0.51351351]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
