tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001698919;0.03; 16715671;12402297 ;0.74;40.91;
0.001558555;0.02;  8883754; 7912440 ;0.89;42.31;
0.007923246;0.42;364255001;38539178 ;0.65;88.75;
0.011840487;0.64;477795658;18911487 ;0.67;100.00;
0.011931282;0.65;478833938;45138881 ;0.72;89.29;
0.002426764;0.11;118921033;04434659 ;0.88;87.93;
0.011980921;0.62;358514703;87558759 ;0.80;92.27;
0.007963062;0.43;363268341;76417386 ;0.76;90.19;
0.011998010;0.64;480959720;64445433 ;0.76;87.95;
0.011793673;0.64;361833336;06320628 ;0.57;87.69;
0.011823740;0.63;356295838;36997161 ;0.67;93.73;
0.023916962;1.27;235700168;00881220 ;0.85;87.50;
0.011647554;0.64;360473550;99790263 ;0.83;64.10;
0.006884235;0.37;478440340;64578462 ;0.76;100.00;
0.011882640;0.64; 63181173;60122711 ;0.95;74.60;
0.001901060;0.11; 43522706;61083576 ;1.40;100.00;
0.001513562;0.04; 14768200;28728938 ;1.95;72.00;
0.001626170;0.04; 14869106;29323881 ;1.97;54.28;
0.001620214;0.05; 14478739;28821465 ;1.99;58.82;
0.001659784;0.04; 14645514;28783356 ;1.97;100.00;
0.001544006;0.04; 15023145;29337700 ;1.95;57.74;
0.001489246;0.04; 14219078;27924719 ;1.96;61.66;
0.001457942;0.04; 14417289;28670383 ;1.99;63.93;
0.001589792;0.08; 14629616;28803690 ;1.97;57.58;
0.001645169;0.08; 14793054;28756053 ;1.94;56.40;
0.001480694;0.04; 14898637;28759504 ;1.93;54.39;
0.001592414;0.08; 14150330;28273993 ;2.00;45.29;
0.001467761;0.03;  9192803;16332375 ;1.78;41.51;
0.001478596;0.03;  8867007;16189840 ;1.83;44.44;
0.001483206;0.03;  9412102;15596418 ;1.66;49.97;
0.001462771;0.05;  9108948;14981950 ;1.64;46.15;
0.001482235;0.06;  9062584;16589568 ;1.83;42.94;
0.001463696;0.03;  9179003;15733534 ;1.71;100.00;
0.001498923;0.03;  8823058;15659446 ;1.77;28.19;
0.001439166;0.03;  8967045;15192363 ;1.69;48.12;
0.001454571;0.05;  9445472;16018797 ;1.70;100.00;
0.001483928;0.03;  8672338;15478212 ;1.78;100.00;
0.001468348;0.03; 15075873;25261950 ;1.68;54.03;
0.001453407;0.03; 18815886;22012170 ;1.17;50.00;
0.001441033;0.06;  8778790;15553456 ;1.77;53.85;
0.001467672;0.06; 14172825;23858146 ;1.68;26.92;
0.001506139;0.01;  4704601; 4135331 ;0.88;;
0.001489790;0.02;  3896238; 1714325 ;0.44;;
0.001498978;0.02;  3231332; 1561782 ;0.48;;
0.001496250;0.02;  3374589; 1602509 ;0.47;;
0.001567648;0.01;  2773412; 1500977 ;0.54;;
0.001449356;0.01;  3195498; 1616799 ;0.51;;
0.001476158;0.02;  3361999; 1522016 ;0.45;;
0.001483816;0.01;  3348584; 1666434 ;0.50;;
