tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001503001;0.03;  8809816;12236071 ;1.39;0.00;
0.001481428;0.04; 11746511;19253324 ;1.64;;
0.002658301;0.10; 49850778;32101773 ;0.64;98.11;
0.001576512;0.10; 48366301;29676738 ;0.61;94.36;
0.001549392;0.10; 47574717;27466217 ;0.58;100.00;
0.003245576;0.15; 71967535;41011004 ;0.57;89.61;
0.001549074;0.10; 47893499;30933801 ;0.65;95.33;
0.002969483;0.15; 47471336;22519822 ;0.47;94.28;
0.001672794;0.05; 48540892;24951260 ;0.51;94.45;
0.001660107;0.10; 52390864;27749561 ;0.53;94.56;
0.001607901;0.10; 51885606;30143631 ;0.58;87.23;
0.001665388;0.10; 52591840;32045623 ;0.61;100.00;
0.001592133;0.05; 48167864;22424405 ;0.47;98.36;
0.002814126;0.15; 59696659;33731088 ;0.57;98.19;
0.004263619;0.25; 66671258;39326221 ;0.59;91.16;
0.001802989;0.10; 96384050;49557240 ;0.51;98.30;
0.001751306;0.09; 48682225;26154145 ;0.54;87.72;
0.001716997;0.10;112514043;60842640 ;0.54;87.93;
0.003941948;0.20; 83996350;50240460 ;0.60;100.00;
0.003364988;0.15;122039141;72347001 ;0.59;100.00;
0.001916818;0.09; 48094373;23298868 ;0.48;100.00;
0.001609574;0.10; 48130308;23387157 ;0.49;90.26;
0.001567880;0.10;104075421;54660541 ;0.53;100.00;
0.001535832;0.10; 52628792;27116494 ;0.52;93.88;
0.002073608;0.10; 60551382;33206678 ;0.55;94.64;
0.001576769;0.05; 46671541;25646537 ;0.55;91.67;
0.001704908;0.10; 47539111;27476143 ;0.58;91.42;
0.001558603;0.10; 48542305;32649594 ;0.67;86.21;
0.001562056;0.05; 47824391;32319939 ;0.68;91.15;
0.001532639;0.05; 48142965;29726520 ;0.62;98.59;
0.001866787;0.10; 47834169;31552317 ;0.66;88.14;
0.001609828;0.05; 47303546;28110162 ;0.59;86.69;
0.001864870;0.10; 58443919;37341360 ;0.64;94.54;
0.003078680;0.16; 95393457;64012908 ;0.67;100.00;
0.002083252;0.10; 42175164;28869898 ;0.68;90.21;
0.003385997;0.15; 58616372;34879640 ;0.60;75.44;
0.001472886;0.09; 46837516;28828655 ;0.62;90.52;
0.001532192;0.10; 46699815;28320218 ;0.61;74.07;
0.001704786;0.10; 58664570;34916559 ;0.60;88.68;
0.001392298;0.05; 35721597;23157735 ;0.65;87.72;
0.001527506;0.05; 47211836;29332571 ;0.62;98.43;
0.001499319;0.09; 47118070;29356390 ;0.62;94.33;
0.001457115;0.10; 47050989;25096262 ;0.53;0.00;
0.001447135;0.05;  5493085; 3901359 ;0.71;;
0.001464926;0.03;  3363015; 1574576 ;0.47;;
0.001483268;0.01;  2904445; 1478794 ;0.51;;
