tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001590530;0.05; 12225260; 9759972 ;0.80;17.02;
0.001454904;0.07; 12050225;12412917 ;1.03;;
0.011938790;0.57;342964221;63829766 ;1.06;100.00;
0.011951923;0.63; 55472344;64351332 ;1.16;100.00;
0.008048806;0.49;359272173;75309324 ;1.04;100.00;
0.011935016;0.66;359388336;80874590 ;1.06;89.09;
0.011931479;0.63;362178642;80795391 ;1.05;75.00;
0.001659489;0.11; 42667652;51118339 ;1.20;71.43;
0.001518230;0.04; 14839101;23669273 ;1.60;53.18;
0.001492751;0.07; 14913190;24941963 ;1.67;72.73;
0.001519836;0.07; 14675461;25111300 ;1.71;100.00;
0.001482237;0.04; 13991448;25778661 ;1.84;62.10;
0.001581104;0.08; 14989291;26275486 ;1.75;57.01;
0.001699174;0.04; 15630485;25530632 ;1.63;72.00;
0.001457719;0.04; 15235731;26074388 ;1.71;23.33;
0.001484096;0.07;  8856328;13629211 ;1.54;42.59;
0.001463287;0.05;  9226189;13778271 ;1.49;43.82;
0.001459160;0.03;  9074109;13553798 ;1.49;53.85;
0.001440804;0.03;  9097271;16098497 ;1.77;46.67;
0.001447982;0.03; 14559911;25423770 ;1.75;100.00;
0.001445676;0.05; 14281774;23663528 ;1.66;44.42;
0.001477336;0.03;  8949711;13830684 ;1.55;42.07;
0.001460959;0.03;  9089146;13508405 ;1.49;0.00;
0.001453289;0.02; 15065951;14688662 ;0.97;;
0.001596598;0.01;  2836168; 1469051 ;0.52;;
0.001480987;0.01;  2941469; 1449507 ;0.49;;
0.001460080;0.01;  2916802; 1439940 ;0.49;;
0.001459008;0.02;  2709116; 1616413 ;0.60;;
0.001401917;0.02;  3321327; 1607700 ;0.48;;
0.001463033;0.01;  3236706; 1567239 ;0.48;;
