tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001549091;0.02; 12785345; 9677032 ;0.76;20.99;
0.001494274;0.04;  8708389; 7606501 ;0.87;28.58;
0.011942665;0.63;361086552;59776582 ;1.00;100.00;
0.004006396;0.21;361125068;54837073 ;0.98;100.00;
0.007975205;0.44;272555435;65332667 ;0.97;100.00;
0.011921503;0.67;362247363;55958562 ;0.98;82.50;
0.011924585;0.65;362445977;38402775 ;0.93;85.69;
0.001427177;0.08; 20725914;21136947 ;1.02;61.42;
0.001548614;0.07; 14010056;20511763 ;1.46;57.95;
0.001644292;0.04; 14189912;19788961 ;1.39;100.00;
0.001621616;0.09; 14345493;19664875 ;1.37;50.48;
0.001484187;0.08; 14025665;18034471 ;1.29;51.55;
0.001426930;0.07; 14041351;18013685 ;1.28;59.52;
0.001472453;0.04; 14067007;19925390 ;1.42;60.04;
0.001493715;0.03;  8971635;11154262 ;1.24;38.06;
0.001478730;0.02;  9664549;10575235 ;1.09;43.34;
0.001450732;0.05;  8450293;10428352 ;1.23;54.55;
0.001424476;0.05;  8805330;11660432 ;1.32;39.17;
0.001444685;0.05; 12491246;17165809 ;1.37;27.59;
0.001482842;0.05;  8569291;10029040 ;1.17;36.07;
0.001453098;0.05;  9120375;10525179 ;1.15;47.05;
0.001454712;0.03;  8684507;10167484 ;1.17;38.71;
0.001433081;0.05;  8857109; 9648765 ;1.09;38.50;
0.001484501;0.01;  3319700; 1556403 ;0.47;;
0.001414451;0.01;  3156958; 1544794 ;0.49;;
0.001506152;0.02;  2928069; 1488354 ;0.51;;
0.001439548;0.01;  3021437; 1656109 ;0.55;;
0.001490860;0.01;  3080906; 1483855 ;0.48;;
0.001483416;0.01;  2918089; 1509966 ;0.52;;
0.001469912;0.02;  2430967; 1560378 ;0.64;;
0.001482798;0.02;  3428858; 1633082 ;0.48;;
0.001465869;0.02;  2776065; 1470098 ;0.53;;
0.001461966;0.02;  2876192; 1462859 ;0.51;;
