tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001820801;0.04;  9538862;13134659 ;1.38;18.21;
0.001636677;0.07;  9241217; 4684706 ;0.51;100.00;
0.011972700;0.66;361274868;91048141 ;1.36;87.50;
0.006000495;0.33;361336713;84676065 ;1.34;100.00;
0.011934213;0.66;362685746;84649533 ;1.34;100.00;
0.011958432;0.66;361549112;79961097 ;1.33;100.00;
0.011970661;0.67;433757324;581162248; 1.3;100.00;
0.011977303;0.67;361439167;78696426 ;1.32;100.00;
0.011943808;0.66;361453279;77742138 ;1.32;100.00;
0.011981292;0.67;362401476;479797319; 1.3;100.00;
0.010832098;0.61;362365646;77809825 ;1.32;87.34;
0.011945942;0.66;257433527;38832906 ;1.32;88.73;
0.011965877;0.67;241660391;20218824 ;1.33;100.00;
0.011978792;0.67;361411800;68305361 ;1.30;100.00;
0.011934442;0.67;306628223;02791734 ;1.31;87.50;
0.011972037;0.68;362582113;81368712 ;1.33;97.29;
0.011973970;0.67;362585243;81130540 ;1.33;87.50;
0.011920443;0.67;362699464;77993554 ;1.32;94.41;
0.007981602;0.45;362485310;75601483 ;1.31;100.00;
0.007992073;0.45;361352614;75518985 ;1.32;100.00;
0.011930943;0.67;362551949;78654049 ;1.32;100.00;
0.011984611;0.67;362522552;86172829 ;1.34;100.00;
0.008045613;0.45;361454576;76667437 ;1.32;93.51;
0.011979528;0.67;241389927;21750514 ;1.33;87.50;
0.008022664;0.46;362462688;78118210 ;1.32;100.00;
0.011983863;0.67;362305541;76007181 ;1.31;100.00;
0.008767607;0.51;241188862;16932808 ;1.31;100.00;
0.011974494;0.68;362547472;83537583 ;1.33;100.00;
0.009602184;0.51;362494450;79896255 ;1.32;100.00;
0.011947946;0.62;483802986;639389761; 1.3;100.00;
0.004642529;0.28;241768903;21798922 ;1.33;85.03;
0.011977312;0.68;253249652;28441567 ;1.30;100.00;
0.011975398;0.68;420506861;548470840; 1.3;87.01;
0.015969331;0.91;362367875;80409498 ;1.33;87.50;
0.011980447;0.68;362243517;469409971; 1.3;100.00;
0.011973576;0.68;362400792;83511225 ;1.33;100.00;
0.011937395;0.68;247814855;22235683 ;1.30;87.18;
0.007942106;0.46;362435144;78590745 ;1.32;100.00;
0.011974539;0.69;240040922;23686426 ;1.35;75.00;
0.011610329;0.68;362437073;78625288 ;1.32;87.70;
0.011973689;0.68;362353666;478646666; 1.3;91.21;
0.011938034;0.69;115851331;52051999 ;1.31;86.96;
0.011971238;0.69;361342852;69979812 ;1.30;76.67;
0.005053835;0.29;362600931;71265279 ;1.30;100.00;
0.011934870;0.63; 43175039;63103047 ;1.46;95.87;
0.008015691;0.46;362495905;75662475 ;1.31;100.00;
0.008015829;0.46;361411562;65614688 ;1.29;88.14;
0.011937405;0.69;362681649;69994415 ;1.30;87.32;
0.011973085;0.69;241422843;16881445 ;1.31;87.72;
0.007983525;0.46;362497159;70555193 ;1.30;100.00;
0.007937879;0.46;362547468;76414775 ;1.31;100.00;
0.011979091;0.63;361414335;72608929 ;1.31;100.00;
0.011975518;0.69;199367299;61548850 ;1.31;100.00;
0.007976612;0.46;362436912;74984466 ;1.31;100.00;
0.013236184;0.75;361489112;72152510 ;1.31;87.30;
0.001466896;0.06;362517901;69783770 ;1.30;87.50;
0.011971754;0.69;361245920;71827799 ;1.31;100.00;
0.011984900;0.69;240205833;14968178 ;1.31;100.00;
0.012005015;0.69;362562176;479514366; 1.3;85.65;
0.011951960;0.69;242724439;24184228 ;1.34;84.75;
0.011976245;0.69;361317831;78524516 ;1.32;100.00;
