Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.8330129745314753,2.7800472736358643,0.1045797348022461,"[ 0.84172662  0.84652278  0.79086538  0.84855769  0.82211538  0.84134615
  0.82932692  0.81009615  0.87019231  0.82932692]","{'C': 2, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.8272465160980298,2.7967309951782227,0.10640492439270019,"[ 0.8441247   0.84172662  0.78365385  0.83173077  0.81730769  0.83894231
  0.81730769  0.81009615  0.86057692  0.82692308]","{'C': 5, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.8267659778952426,2.7951336145401,0.10421562194824219,"[ 0.8441247   0.83932854  0.78365385  0.82451923  0.82211538  0.83894231
  0.81730769  0.81009615  0.86057692  0.82692308]","{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.8265257087938491,2.784609651565552,0.10480408668518067,"[ 0.8441247   0.84172662  0.78365385  0.82451923  0.82211538  0.83894231
  0.81490385  0.80769231  0.86057692  0.82692308]","{'C': 50, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.8265257087938491,2.7901676654815675,0.10428895950317382,"[ 0.8441247   0.84172662  0.78365385  0.82451923  0.82211538  0.83894231
  0.81490385  0.80769231  0.86057692  0.82692308]","{'C': 100, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.8212397885631908,0.3164702892303467,0.08510336875915528,"[ 0.82494005  0.84652278  0.79807692  0.82932692  0.80288462  0.84375
  0.80288462  0.79807692  0.83173077  0.83413462]","{'C': 2, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.8097068716962998,0.3903332710266113,0.09570696353912353,"[ 0.81294964  0.83932854  0.78605769  0.82211538  0.79326923  0.83894231
  0.79086538  0.78365385  0.81009615  0.81971154]","{'C': 1, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 100000}"
SVC,0.7909658817876021,1.5139541387557984,0.029544544219970704,"[ 0.78896882  0.81534772  0.77644231  0.80769231  0.78846154  0.81730769
  0.76201923  0.75961538  0.80769231  0.78605769]","{'C': 5, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7909658817876021,1.5138209104537963,0.02959442138671875,"[ 0.78896882  0.81534772  0.77644231  0.80769231  0.78846154  0.81730769
  0.76201923  0.75961538  0.80769231  0.78605769]","{'C': 5, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7909658817876021,1.5222286939620973,0.02961423397064209,"[ 0.78896882  0.81534772  0.77644231  0.80769231  0.78846154  0.81730769
  0.76201923  0.75961538  0.80769231  0.78605769]","{'C': 5, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7909658817876021,1.5186651229858399,0.029893207550048827,"[ 0.78896882  0.81534772  0.77644231  0.80769231  0.78846154  0.81730769
  0.76201923  0.75961538  0.80769231  0.78605769]","{'C': 5, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7890437289764536,0.8269955396652222,0.02972290515899658,"[ 0.78896882  0.81534772  0.77884615  0.80769231  0.78365385  0.81490385
  0.75        0.75480769  0.80769231  0.78846154]","{'C': 2, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7890437289764536,0.8262041091918946,0.029726719856262206,"[ 0.78896882  0.81534772  0.77884615  0.80769231  0.78365385  0.81490385
  0.75        0.75480769  0.80769231  0.78846154]","{'C': 2, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7890437289764536,0.8253802537918091,0.029706335067749022,"[ 0.78896882  0.81534772  0.77884615  0.80769231  0.78365385  0.81490385
  0.75        0.75480769  0.80769231  0.78846154]","{'C': 2, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7890437289764536,0.8352439641952515,0.029787349700927734,"[ 0.78896882  0.81534772  0.77884615  0.80769231  0.78365385  0.81490385
  0.75        0.75480769  0.80769231  0.78846154]","{'C': 2, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7888034598750601,0.5177040815353393,0.029944419860839844,"[ 0.78657074  0.81294964  0.78125     0.80769231  0.77884615  0.81730769
  0.74759615  0.75721154  0.80769231  0.79086538]","{'C': 1, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7888034598750601,0.5131749153137207,0.030084705352783202,"[ 0.78657074  0.81294964  0.78125     0.80769231  0.77884615  0.81730769
  0.74759615  0.75721154  0.80769231  0.79086538]","{'C': 1, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7888034598750601,0.5131003141403199,0.030549502372741698,"[ 0.78657074  0.81294964  0.78125     0.80769231  0.77884615  0.81730769
  0.74759615  0.75721154  0.80769231  0.79086538]","{'C': 1, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7888034598750601,0.5232455730438232,0.030934762954711915,"[ 0.78657074  0.81294964  0.78125     0.80769231  0.77884615  0.81730769
  0.74759615  0.75721154  0.80769231  0.79086538]","{'C': 1, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7871215761653051,5.997708559036255,0.029330945014953612,"[ 0.80335731  0.80815348  0.76923077  0.80528846  0.78365385  0.80769231
  0.75        0.75        0.79567308  0.79807692]","{'C': 50, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7871215761653051,6.048496532440185,0.02946488857269287,"[ 0.80335731  0.80815348  0.76923077  0.80528846  0.78365385  0.80769231
  0.75        0.75        0.79567308  0.79807692]","{'C': 50, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7871215761653051,5.998470687866211,0.030823993682861327,"[ 0.80335731  0.80815348  0.76923077  0.80528846  0.78365385  0.80769231
  0.75        0.75        0.79567308  0.79807692]","{'C': 50, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.7871215761653051,5.987455296516418,0.029274892807006837,"[ 0.80335731  0.80815348  0.76923077  0.80528846  0.78365385  0.80769231
  0.75        0.75        0.79567308  0.79807692]","{'C': 50, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.786641037962518,2.3444011926651003,0.029448986053466797,"[ 0.79136691  0.80095923  0.77163462  0.81009615  0.78605769  0.8125
  0.75240385  0.75480769  0.79567308  0.79086538]","{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.786641037962518,2.383773112297058,0.029548454284667968,"[ 0.79136691  0.80095923  0.77163462  0.81009615  0.78605769  0.8125
  0.75240385  0.75480769  0.79567308  0.79086538]","{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.786641037962518,2.341593098640442,0.02952430248260498,"[ 0.79136691  0.80095923  0.77163462  0.81009615  0.78605769  0.8125
  0.75240385  0.75480769  0.79567308  0.79086538]","{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.786641037962518,2.3437053203582763,0.029636502265930176,"[ 0.79136691  0.80095923  0.77163462  0.81009615  0.78605769  0.8125
  0.75240385  0.75480769  0.79567308  0.79086538]","{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.75708793849111,8.537798976898193,0.030344080924987794,"[ 0.7793765   0.77458034  0.74759615  0.76682692  0.77163462  0.75721154
  0.73798077  0.72115385  0.76682692  0.74759615]","{'C': 100, 'decision_function_shape': 'ovr', 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 100000}"
SVC,0.75708793849111,8.517582201957703,0.03038954734802246,"[ 0.7793765   0.77458034  0.74759615  0.76682692  0.77163462  0.75721154
  0.73798077  0.72115385  0.76682692  0.74759615]","{'C': 100, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'linear', 'max_iter': 100000}"
