Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.6504084574723691,16.374253273010254,0.04285457134246826,"[ 0.71942446  0.71702638  0.65144231  0.66346154  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.625     ]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6504084574723691,14.414866375923157,0.03960914611816406,"[ 0.71942446  0.71702638  0.65144231  0.66346154  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.625     ]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6501681883709755,11.758974099159241,0.03416633605957031,"[ 0.7146283   0.71223022  0.65144231  0.65384615  0.67548077  0.62259615
  0.60576923  0.58653846  0.65144231  0.62740385]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6494473810667948,11.763944172859192,0.033478927612304685,"[ 0.70983213  0.71942446  0.65144231  0.65144231  0.67548077  0.62259615
  0.60576923  0.58653846  0.64182692  0.62980769]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6484863046612206,11.786699461936951,0.033644890785217284,"[ 0.71942446  0.71702638  0.65144231  0.66346154  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.60576923]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6484863046612206,11.771105980873108,0.03359861373901367,"[ 0.71942446  0.71702638  0.65144231  0.66346154  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.60576923]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6484863046612206,12.961671471595764,0.037917923927307126,"[ 0.71942446  0.71702638  0.65144231  0.66346154  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.60576923]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6477654973570399,11.257436776161194,0.033522176742553714,"[ 0.66666667  0.69064748  0.64423077  0.66826923  0.61538462  0.63701923
  0.61298077  0.66105769  0.63942308  0.64182692]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6470446900528593,11.604486393928529,0.03450396060943604,"[ 0.65467626  0.73860911  0.67548077  0.67788462  0.63461538  0.62259615
  0.65384615  0.55048077  0.66346154  0.59855769]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6465641518500721,16.750640034675598,0.0455174446105957,"[ 0.71223022  0.71702638  0.65144231  0.65144231  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.60576923]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6458433445458914,11.75392918586731,0.03417818546295166,"[ 0.69784173  0.71702638  0.65144231  0.65625     0.66586538  0.62259615
  0.60576923  0.58653846  0.64903846  0.60576923]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6456030754444978,13.753954911231995,0.04258856773376465,"[ 0.67386091  0.67625899  0.62019231  0.70192308  0.62740385  0.62019231
  0.65144231  0.59375     0.61298077  0.67788462]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6451225372417108,12.165034198760987,0.03655774593353271,"[ 0.69304556  0.71702638  0.65144231  0.65625     0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.60576923]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6448822681403171,11.767834687232972,0.033521723747253415,"[ 0.69304556  0.71702638  0.65144231  0.65384615  0.65865385  0.62259615
  0.60576923  0.58653846  0.65384615  0.60576923]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6448822681403171,11.59804346561432,0.0345609188079834,"[ 0.66906475  0.72661871  0.68509615  0.66826923  0.60576923  0.61298077
  0.65865385  0.55769231  0.64182692  0.62259615]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6446419990389236,11.156163477897644,0.031029987335205077,"[ 0.67386091  0.73141487  0.68269231  0.65865385  0.59855769  0.61057692
  0.65625     0.56730769  0.64423077  0.62259615]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
